id,author,journal,year,citations,architecture,augmentation,epochs,learning_rate,Classification level,num_class,num_img,accuracy,precision,recall,map,f1,curation
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,ALEXNET,NO,,,SPECIES,48,1400000,92.4,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,NIN,NO,,,SPECIES,48,1400000,92,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,VGG,NO,,,SPECIES,48,1400000,92.4,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,GOOGLENET,NO,,,SPECIES,48,1400000,93,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,RESNET,NO,,,SPECIES,48,1400000,93.5,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,ALEXNET,NO,,,DETECTION,48,1400000,95.8,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,NIN,NO,,,DETECTION,48,1400000,96,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,VGG,NO,,,DETECTION,48,1400000,96.8,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,GOOGLENET,NO,,,DETECTION,48,1400000,96.3,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,RESNET,NO,,,DETECTION,48,1400000,96.3,,,,,YES
